id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
q0o9md73z8,2011-05-20,20110520232242,2011-05-24,-unknown-,65.0,facebook,2,en,direct,direct,untracked,Web,Android Tablet,IE,US
jfue0yqfo5,2011-05-21,20110521022337,2011-05-22,-unknown-,,basic,0,en,sem-brand,google,,Web,Other/Unknown,-unknown-,US
b8kuz7hmmt,2011-05-21,20110521030749,2011-06-02,-unknown-,30.0,facebook,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,US
bnr3efs1ha,2011-05-21,20110521043601,2011-05-22,MALE,,facebook,2,en,other,craigslist,linked,Web,Windows Desktop,Firefox,CA
m3oegyfshc,2011-05-21,20110521050327,,-unknown-,,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF
80m265x5vu,2011-05-21,20110521064105,2011-05-22,-unknown-,,basic,2,en,sem-non-brand,google,untracked,Web,Mac Desktop,Safari,US
ekpqifj6a7,2011-05-21,20110521094701,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
bw25rao7fx,2011-05-21,20110521101156,,-unknown-,,facebook,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
nsfst5gfxb,2011-05-21,20110521101923,2011-05-25,MALE,35.0,basic,2,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,ES
oevno47xn6,2011-05-21,20110521104253,2011-05-22,-unknown-,,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
xcjua8f20w,2011-05-21,20110521124423,2011-05-24,MALE,43.0,facebook,2,en,other,craigslist,untracked,Web,Mac Desktop,Safari,DE
x8d07kqcnj,2011-05-21,20110521150704,2011-06-13,-unknown-,,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,GB
hnbbipi8id,2011-05-21,20110521203602,,-unknown-,,facebook,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
z6zk0kn2uj,2011-05-21,20110521215234,,-unknown-,,basic,2,en,direct,direct,linked,Web,iPhone,Mobile Safari,NDF
rbpngddkpz,2011-05-21,20110521220447,,-unknown-,34.0,facebook,2,en,other,craigslist,untracked,Web,iPhone,Mobile Safari,NDF
yxnwx1o726,2011-05-21,20110521230018,2011-05-22,-unknown-,44.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,CA
ethq5ugzya,2011-05-22,20110522002929,2011-05-22,-unknown-,,basic,3,sv,direct,direct,omg,Web,Windows Desktop,Chrome,US
b387hbw02z,2011-05-22,20110522012331,,-unknown-,,facebook,2,en,sem-non-brand,google,untracked,Web,Windows Desktop,Chrome,NDF
udbvjjzdv1,2011-05-22,20110522014526,,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
dvkl8rf1u5,2011-05-22,20110522023907,2011-05-23,-unknown-,,facebook,2,en,sem-non-brand,google,untracked,Web,Windows Desktop,Chrome,US
ufw8elxfaj,2011-05-22,20110522024217,2011-05-22,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,US
vlikswk382,2011-05-22,20110522024720,,-unknown-,,basic,2,en,sem-brand,google,,Web,Other/Unknown,-unknown-,NDF
qt90ughy4s,2011-05-22,20110522025058,,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
7r78cljy9g,2011-05-22,20110522035141,,FEMALE,40.0,basic,2,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,NDF
xnpq43tfdd,2011-05-22,20110522041136,2011-06-02,-unknown-,,facebook,2,en,direct,direct,untracked,Web,iPhone,-unknown-,US
9bf90o5qdn,2011-05-22,20110522050205,2011-05-22,-unknown-,28.0,basic,3,en,direct,direct,linked,Web,Mac Desktop,Chrome,other
z5qdm8l3qo,2011-05-22,20110522091314,,-unknown-,30.0,facebook,2,en,sem-non-brand,google,linked,Web,iPad,Mobile Safari,NDF
r1k87cxmfd,2011-05-22,20110522142516,,-unknown-,,basic,0,en,other,other,untracked,Web,Mac Desktop,Chrome,NDF
7650646q6m,2011-05-22,20110522150723,2011-05-25,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPad,Mobile Safari,CA
q4kuk4x7wp,2011-05-22,20110522191808,2011-09-10,FEMALE,33.0,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,FR
55wagw9v3x,2011-05-22,20110522202902,2011-05-23,-unknown-,39.0,facebook,3,en,other,craigslist,untracked,Web,iPhone,Mobile Safari,US
m7mq22ljzv,2011-05-22,20110522205323,2011-06-18,-unknown-,,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
p5blybubd9,2011-05-22,20110522211146,2011-06-07,-unknown-,,basic,2,en,content,google,,Web,Other/Unknown,-unknown-,CA
2h5h4hmf2j,2011-05-22,20110522223510,,-unknown-,50.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF
eloxqkbyg1,2011-05-22,20110522224110,2011-05-27,FEMALE,58.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,GB
p6hcdqeyvu,2011-05-22,20110522230823,2011-05-23,-unknown-,,facebook,3,en,other,craigslist,linked,Web,Mac Desktop,Chrome,IT
ojay5f2krt,2011-05-23,20110523003753,2011-05-24,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,IT
wqq1igan01,2011-05-23,20110523013846,2011-07-24,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
rcp3kv6znf,2011-05-23,20110523014648,2011-05-23,-unknown-,,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,FR
mb922q87pv,2011-05-23,20110523022250,2011-05-24,-unknown-,,basic,2,en,direct,direct,linked,Web,Mac Desktop,Firefox,IT
lkep6cmkvh,2011-05-23,20110523023232,,MALE,,basic,2,en,sem-non-brand,google,linked,Web,Windows Desktop,IE,NDF
dsl28tzioi,2011-05-23,20110523024424,,-unknown-,,facebook,2,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
1cmbl8ya0d,2011-05-23,20110523035349,,FEMALE,56.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
lx0b7qpl99,2011-05-23,20110523041653,2011-05-28,MALE,46.0,basic,2,en,sem-brand,google,untracked,Web,Windows Desktop,IE,US
0hwo4jvryx,2011-05-23,20110523041930,2011-05-24,FEMALE,26.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,FR
8zdsvq09jt,2011-05-23,20110523043807,,FEMALE,50.0,basic,2,en,direct,direct,untracked,Web,iPhone,Mobile Safari,NDF
yed93m9lpm,2011-05-23,20110523053247,2011-05-25,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
zpafklqxxw,2011-05-23,20110523054053,,-unknown-,,basic,3,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,NDF
ji1mxb19yd,2011-05-23,20110523061648,2011-05-23,MALE,34.0,basic,3,en,direct,direct,untracked,Web,iPhone,-unknown-,US
u8e3dgu61q,2011-05-23,20110523063439,2011-05-24,MALE,33.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
dilieq33p6,2011-05-23,20110523065807,2011-05-23,-unknown-,,basic,3,en,other,craigslist,linked,Web,iPhone,Mobile Safari,US
1f6ui6rhuj,2011-05-23,20110523071907,,-unknown-,,facebook,2,en,other,craigslist,tracked-other,Web,Mac Desktop,Safari,NDF
yi0hpcsedv,2011-05-23,20110523073317,2011-06-15,FEMALE,34.0,facebook,2,en,sem-brand,google,linked,Web,Mac Desktop,Safari,DE
qvxz15zk85,2011-05-23,20110523103740,2011-05-23,-unknown-,,basic,0,en,other,other,,Web,Other/Unknown,-unknown-,IT
8ms2imw2xg,2011-05-23,20110523124256,,-unknown-,,facebook,2,en,other,other,untracked,Web,Mac Desktop,Safari,NDF
3okob8tr48,2011-05-23,20110523152640,,FEMALE,31.0,facebook,2,en,sem-non-brand,google,untracked,Web,Windows Desktop,IE,NDF
szpzxbnzk6,2011-05-23,20110523160129,2011-05-26,-unknown-,,basic,3,en,seo,google,linked,Web,Mac Desktop,Safari,other
ow2grxqh25,2011-05-23,20110523161803,2011-05-23,MALE,39.0,basic,2,en,sem-brand,google,omg,Web,Windows Desktop,IE,US
zz7kpz23uy,2011-05-23,20110523161815,2011-05-24,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
44swyrmzwq,2011-05-23,20110523171128,,-unknown-,,facebook,2,en,direct,direct,untracked,Web,iPhone,Mobile Safari,NDF
feml19shgu,2011-05-23,20110523182925,,-unknown-,,basic,2,en,direct,direct,omg,Web,Mac Desktop,Safari,NDF
g0zjsbe021,2011-05-23,20110523191815,2011-06-02,-unknown-,,basic,3,en,sem-brand,bing,,Web,Other/Unknown,-unknown-,US
h77l224ia8,2011-05-23,20110523194454,,-unknown-,,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
0pyobdy4pq,2011-05-23,20110523195033,2011-08-15,MALE,2014.0,basic,0,en,sem-non-brand,google,untracked,Web,Windows Desktop,AOL Explorer,US
t7e2j5hw76,2011-05-23,20110523203503,2011-05-24,-unknown-,34.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
rkia1pd7d8,2011-05-23,20110523203915,2011-11-23,MALE,33.0,facebook,2,en,sem-non-brand,google,untracked,Web,Mac Desktop,Safari,CA
o4cny9xuwk,2011-05-23,20110523204704,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,-unknown-,NDF
kr0i46w8cx,2011-05-23,20110523210813,,-unknown-,19.0,basic,3,en,sem-non-brand,vast,untracked,Web,Windows Desktop,Firefox,NDF
1n5313wgsf,2011-05-23,20110523211639,,MALE,33.0,basic,2,en,other,other,linked,Web,Windows Desktop,Firefox,NDF
g2htwo1ygc,2011-05-23,20110523215504,,-unknown-,,basic,2,en,other,craigslist,linked,Web,Mac Desktop,Safari,NDF
xa58upokhb,2011-05-23,20110523223303,,MALE,53.0,basic,1,en,sem-brand,google,linked,Web,Mac Desktop,Safari,NDF
2pghrjbd56,2011-05-23,20110523232937,2011-06-03,-unknown-,19.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
4l4b3dejye,2011-05-23,20110523234128,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Windows Desktop,IE,NDF
t1v4l29e2i,2011-05-23,20110523234307,2011-05-25,-unknown-,,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
92q778szqg,2011-05-24,20110524005707,2011-05-24,-unknown-,69.0,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
j2gjxu2afd,2011-05-24,20110524022707,,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
ubk9mdkwp7,2011-05-24,20110524024452,,-unknown-,,facebook,3,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
3px8ja0yl5,2011-05-24,20110524032653,,MALE,54.0,basic,2,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,NDF
wpqf3w1v1p,2011-05-24,20110524042347,,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
xa19gcktte,2011-05-24,20110524042843,2011-11-09,-unknown-,105.0,basic,2,en,direct,direct,untracked,Web,iPad,Mobile Safari,DE
cgeuu6l942,2011-05-24,20110524052954,2011-05-25,-unknown-,,basic,3,en,sem-brand,google,,Web,Other/Unknown,-unknown-,IT
ex4lxajrne,2011-05-24,20110524060829,,-unknown-,,facebook,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
kzy8gckjxg,2011-05-24,20110524062247,2011-05-24,-unknown-,49.0,basic,0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,US
uz72jtc3hl,2011-05-24,20110524063744,2011-05-24,FEMALE,31.0,facebook,3,en,direct,direct,linked,Web,Mac Desktop,Firefox,IT
4zqzyyrb62,2011-05-24,20110524160632,2011-09-15,-unknown-,,basic,2,en,content,facebook,untracked,Web,Mac Desktop,Safari,US
d0xt1vjugi,2011-05-24,20110524164514,2011-05-25,MALE,31.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
x449lqdwh8,2011-05-24,20110524170507,2011-05-24,FEMALE,26.0,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
takictj7j3,2011-05-24,20110524174915,2011-06-01,-unknown-,29.0,facebook,2,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,US
4vapql50hr,2011-05-24,20110524181052,2011-05-26,-unknown-,,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
hc9xu372ge,2011-05-24,20110524184013,2011-09-25,-unknown-,,basic,2,en,direct,direct,untracked,Web,Windows Desktop,IE,ES
7irneav4dp,2011-05-24,20110524184827,2011-05-25,-unknown-,37.0,basic,3,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,US
q1djfh59pl,2011-05-24,20110524190138,,-unknown-,45.0,basic,3,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
vwi0teeg2p,2011-05-24,20110524194838,2011-05-25,FEMALE,26.0,basic,2,en,content,google,untracked,Web,Windows Desktop,Chrome,NL
94vokxqsol,2011-05-24,20110524195215,,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
5394ddvc80,2011-05-24,20110524195340,,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Firefox,NDF
tf0n5d3suv,2011-05-24,20110524200712,2012-04-12,-unknown-,,basic,2,en,content,google,linked,Web,Windows Desktop,IE,other
pcibclijjc,2011-05-24,20110524200824,2011-06-10,-unknown-,,basic,2,en,sem-brand,google,,Web,Other/Unknown,-unknown-,US
hnkx61mswt,2011-05-24,20110524203155,2011-05-24,-unknown-,,basic,3,en,sem-brand,google,,Web,Other/Unknown,-unknown-,US
21qp82cy3y,2011-05-24,20110524204026,2011-05-25,-unknown-,29.0,facebook,2,en,other,craigslist,untracked,Web,Windows Desktop,Firefox,other
yzu3lyibya,2011-05-24,20110524211910,2012-03-25,FEMALE,31.0,basic,3,en,sem-non-brand,google,untracked,Web,Windows Desktop,Chrome,US
9qqjktn140,2011-05-24,20110524215923,,FEMALE,103.0,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Safari,NDF
kkuawsjyg7,2011-05-24,20110524220337,,MALE,34.0,basic,2,en,sem-non-brand,vast,,Web,Other/Unknown,-unknown-,NDF
nv6nefsq61,2011-05-24,20110524221855,,MALE,32.0,basic,0,en,direct,direct,omg,Web,Mac Desktop,Firefox,NDF
qq8coq1gyq,2011-05-24,20110524225454,,-unknown-,33.0,basic,3,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF
hmzkk8rwf1,2011-05-24,20110524225608,,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
mis0c4he50,2011-05-24,20110524233121,,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
8jlaz01i74,2011-05-24,20110524234612,,-unknown-,,facebook,0,en,content,google,,Web,Other/Unknown,-unknown-,NDF
1x7pbr80fs,2011-05-25,20110525003556,2011-05-25,FEMALE,,basic,3,en,other,craigslist,linked,Web,Mac Desktop,Safari,US
vpli3qe5bt,2011-05-25,20110525014636,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
jeueuddc08,2011-05-25,20110525041958,2011-05-25,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,US
chlmq6arml,2011-05-25,20110525055054,2011-05-28,-unknown-,,basic,2,en,sem-non-brand,google,untracked,Web,Mac Desktop,Safari,FR
75lbezwrw5,2011-05-25,20110525080213,2011-11-18,-unknown-,41.0,facebook,2,en,direct,direct,omg,Web,Mac Desktop,Safari,US
l0wcth7vvy,2011-05-25,20110525083603,,-unknown-,,facebook,0,en,sem-brand,google,untracked,Web,iPad,Mobile Safari,NDF
tl8o62l315,2011-05-25,20110525105342,,-unknown-,,facebook,2,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
y0bpn1ctkb,2011-05-25,20110525121059,,MALE,31.0,basic,6,en,direct,other,untracked,Web,Windows Desktop,Chrome,NDF
adwfu3en1k,2011-05-25,20110525145000,2012-04-14,MALE,38.0,facebook,0,en,direct,direct,untracked,Web,Other/Unknown,-unknown-,US
andkryt6nx,2011-05-25,20110525174931,,-unknown-,,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
mon71sk35x,2011-05-25,20110525183733,2011-05-26,-unknown-,,basic,2,en,direct,direct,untracked,Web,iPhone,-unknown-,US
pt755upmi0,2011-05-25,20110525191158,2012-05-24,MALE,48.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NL
edk1d74f6x,2011-05-25,20110525192621,2012-01-20,-unknown-,,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Chrome,ES
0dpknw3k33,2011-05-25,20110525210139,2011-05-27,FEMALE,37.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,FR
bkg8v4i9o6,2011-05-25,20110525211702,2011-06-14,FEMALE,37.0,basic,2,en,seo,google,untracked,Web,Mac Desktop,Firefox,US
ixrr5yw0uf,2011-05-25,20110525212030,2011-06-14,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,US
ahr02t3kar,2011-05-25,20110525212106,2011-05-25,-unknown-,56.0,basic,3,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,US
vwrchfhodw,2011-05-25,20110525222139,,FEMALE,62.0,basic,2,en,other,craigslist,linked,Web,Windows Desktop,IE,NDF
5uh5sp9x9x,2011-05-25,20110525230045,2011-05-26,FEMALE,28.0,basic,2,en,sem-non-brand,vast,linked,Web,Mac Desktop,Chrome,US
1e6hdv6p03,2011-05-25,20110525232346,2011-05-29,-unknown-,32.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Firefox,GB
cb42l5n80r,2011-05-25,20110525233859,2011-05-26,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
29l4c5dnj3,2011-05-26,20110526013707,,MALE,32.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
59y1t1r8eg,2011-05-26,20110526015340,2011-06-04,FEMALE,45.0,basic,3,en,other,craigslist,linked,Web,iPhone,Mobile Safari,US
ou3mj7x0h3,2011-05-26,20110526024533,2011-05-26,MALE,45.0,facebook,3,en,sem-non-brand,google,untracked,Web,Windows Desktop,Firefox,US
bptqyfx93w,2011-05-26,20110526025618,2011-05-26,-unknown-,,basic,2,en,sem-non-brand,google,untracked,Web,iPhone,-unknown-,US
6gqgx1624v,2011-05-26,20110526030837,,MALE,33.0,facebook,3,en,other,craigslist,untracked,Web,Mac Desktop,Safari,NDF
qqrq7pd34s,2011-05-26,20110526035635,2011-05-26,-unknown-,,basic,3,en,direct,direct,untracked,Web,Windows Desktop,IE,US
tbdu305k9e,2011-05-26,20110526035920,2011-06-06,-unknown-,51.0,basic,3,en,sem-non-brand,google,untracked,Web,Mac Desktop,Safari,US
89fyzosark,2011-05-26,20110526040446,2011-05-27,-unknown-,27.0,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
mxr36xkye1,2011-05-26,20110526043537,2011-05-26,-unknown-,,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
85zv7clcnj,2011-05-26,20110526043755,2011-05-27,MALE,39.0,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Firefox,CA
2goulmbvxi,2011-05-26,20110526123725,,-unknown-,,facebook,2,en,seo,google,untracked,Web,Mac Desktop,Chrome,NDF
udi2kjq8sl,2011-05-26,20110526131629,2011-05-28,FEMALE,25.0,facebook,0,en,sem-non-brand,google,linked,Web,Mac Desktop,Chrome,other
nzbwrd8gzl,2011-05-26,20110526151654,2011-06-15,MALE,42.0,facebook,3,en,direct,direct,untracked,Web,Windows Desktop,Firefox,DE
cm5cuy1cdk,2011-05-26,20110526164538,2012-03-12,-unknown-,31.0,basic,2,en,sem-non-brand,vast,linked,Web,Mac Desktop,Safari,AU
esbkqwe769,2011-05-26,20110526164656,2011-05-27,-unknown-,,basic,2,en,direct,direct,untracked,Web,iPad,-unknown-,NL
tfc84ldzov,2011-05-26,20110526173403,2011-05-26,-unknown-,,facebook,3,en,direct,direct,linked,Web,Mac Desktop,Safari,US
6er3reo5nm,2011-05-26,20110526182336,2011-05-26,-unknown-,,basic,3,en,content,google,untracked,Web,iPad,-unknown-,IT
zg7fwrtf12,2011-05-26,20110526185431,,-unknown-,35.0,facebook,2,en,seo,google,untracked,Web,iPhone,-unknown-,NDF
4vezd40xz4,2011-05-26,20110526192626,2011-06-01,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,IT
dbwoahzi51,2011-05-26,20110526193615,2011-05-26,-unknown-,,basic,6,en,direct,other,omg,Web,Windows Desktop,Chrome,GB
01ddzdapvu,2011-05-26,20110526195720,,-unknown-,,basic,0,en,sem-non-brand,google,untracked,Web,iPhone,-unknown-,NDF
z98tjiqu9n,2011-05-26,20110526204057,2011-05-27,FEMALE,38.0,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
gb2obeq2ek,2011-05-26,20110526210649,2011-05-27,MALE,38.0,basic,3,en,other,craigslist,linked,Web,Mac Desktop,Safari,US
le1v5431c4,2011-05-26,20110526213155,,-unknown-,,basic,1,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
88tbl8dtky,2011-05-26,20110526222130,,-unknown-,,facebook,2,en,direct,direct,omg,Web,Mac Desktop,Chrome,NDF
yq6vin7d4i,2011-05-26,20110526233149,,-unknown-,,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
1gkki93p5x,2011-05-26,20110526235727,,FEMALE,,basic,2,en,seo,google,tracked-other,Web,Mac Desktop,Firefox,NDF
fj6imrwlld,2011-05-27,20110527013253,2011-07-26,-unknown-,,basic,2,en,other,other,untracked,Web,Windows Desktop,Chrome,US
md56wjtwxp,2011-05-27,20110527021234,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Android Phone,Chrome Mobile,NDF
f8gvkyfxi6,2011-05-27,20110527021445,,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
14blqq45dp,2011-05-27,20110527022528,,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
591ec39kg3,2011-05-27,20110527023415,2011-05-27,-unknown-,,basic,3,en,sem-non-brand,google,untracked,Web,Windows Desktop,Firefox,other
uhwl0va87i,2011-05-27,20110527042027,2011-05-27,-unknown-,,basic,6,en,direct,other,,Web,Other/Unknown,-unknown-,US
b19tl8fko2,2011-05-27,20110527052037,2011-05-27,FEMALE,50.0,basic,3,en,direct,direct,untracked,Web,Android Tablet,IE,IT
5lq01h44zi,2011-05-27,20110527052320,2011-05-27,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,other
2m3ha62wlr,2011-05-27,20110527053303,,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
6mqab7daix,2011-05-27,20110527060825,,-unknown-,,facebook,2,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
